Rating,App,Category,Reviews,Installs,Type,Price,Content Rating,Current Ver,Android Ver,SizeInMB,Genre1,Genre2,DateLastUpdated
4.1,Battle of Zombies: Clans War,Family,488039,10000000,Free,0,Teen,1.0.175,2.3.3,58,Strategy,,15/11/2017
4.1,BF 3d Wallpapers,Family,256,100000,Free,0,Teen,4.7,3,2.5,Entertainment,,18/06/2015
4.1,American Sniper City Fight Shooting Assassin,Game,395,50000,Free,0,Teen,1.4,2.3,54,Action,,24/11/2017
4.1,Black Commando | Special Ops | FPS Shooting,Game,1167,100000,Free,0,Teen,1.4,4.1,72,Action,,03/05/2018
4.1,Black Theme Go Launcher EX,Personalization,285,50000,Free,0,Teen,5,2.3,3.9,Personalization,,03/10/2017
4.1,Bo Aung Din,Events,110,5000,Free,0,Teen,Version 1.3.1,4.0.3,2.6,Events,,05/06/2018
4.1,El Laberinto del Demonio 2,Family,3654,100000,Free,0,Teen,1.0.1,4,25,Puzzle,,14/04/2017
4.1,EZ Video Download for Facebook,Social,34079,1000000,Free,0,Teen,2.001,4.0.3,1.3,Social,,14/03/2017
4.1,Evasion.bz,Social,8,100,Free,0,Teen,0.0.9,4.1,4.4,Social,,14/07/2017
4.1,DRAGON BALL Z DOKKAN BATTLE,Game,650114,10000000,Free,0,Teen,3.11.0,4.0.3,80,Action,,03/07/2018
4.1,Gangster Town,Game,74842,5000000,Free,0,Teen,1.7,2.3,99,Action,,22/12/2016
4.1,Gun Strike Shoot,Game,94761,10000000,Free,0,Teen,1.1.4,2.3,17,Action,,21/02/2017
4.1,HANGAME Casino - Baccarat & Texas Hold'em,Game,8608,500000,Free,0,Teen,1.4.5,4.1,46,Casino,,17/05/2018
4.1,Grand Theft Auto V: The Manual,Family,182103,5000000,Free,0,Teen,5.0.12,3,6.9,Entertainment,,31/07/2018
4.1,Gun Builder ELITE,Game,88941,1000000,Free,0,Teen,3.1.7,4,34,Action,,26/07/2016
4.1,Heart Surgery Emergency Doctor,Family,2248,100000,Free,0,Teen,1.3,4,29,Educational,,28/04/2017
4.1,HISTORY: Watch TV Show Full Episodes & Specials,Entertainment,33387,1000000,Free,0,Teen,3.1.4,4.4,20,Entertainment,,16/07/2018
4.1,K Health,Health and fitness,290,50000,Free,0,Teen,1.7.2992,4.1,40,Health & Fitness,,22/07/2018
4.1,I am rich (Most expensive app),Finance,129,1000,Paid,399.99,Teen,2,4.0.3,2.7,Finance,,06/12/2017
4.1,Hot Bhojpuri Video songs,Family,28892,5000000,Free,0,Teen,1.3,4,6.3,Entertainment,,11/07/2018
4.1,LokLok: Draw on a Lock Screen,Communication,14766,500000,Free,0,Teen,0.81 beta,4.0.3,16,Communication,,20/09/2017
4.1,Lust in Terror Manor - The Truth Unveiled | Otome,Game,355,10000,Free,0,Teen,1.0.6,4.1,53,Adventure,,10/07/2018
4.1,Mental Hospital:EB 2 Lite,Game,5341,100000,Free,0,Teen,1,4,8.8,Action,,30/04/2014
4.1,Mini for Facebook lite,Social,260,10000,Free,0,Teen,1.2,3,1.3,Social,,21/06/2018
4.1,Mirrativ: Live Stream Any App,Social,17955,500000,Free,0,Teen,7.23.4,4.1,89,Social,,02/08/2018
4,E! News,News and magazines,15443,1000000,Free,0,Teen,4.2.133,4.4,25,News & Magazines,,19/06/2018
4,Dr.Slender Ep 1 Guide (Eng),Game,454,10000,Free,0,Teen,1,2.3,27,Arcade,,02/12/2014
4,EF Mentor: Words,Family,403,50000,Free,0,Teen,1.7.0.00115,4.1,39,Education,,30/07/2018
4,ER Blood Draw Doctor & Surgeon,Family,154,50000,Free,0,Teen,1.8,4.0.3,58,Educational,,13/06/2018
4,Fever,Events,20611,1000000,Free,0,Teen,4.3.6,4.1,12,Events,,18/07/2018
4,El Laberinto del Demonio 3D,Family,20421,1000000,Free,0,Teen,1.5,2.3,31,Puzzle,,20/08/2015
4,"FOX Sports: Live Streaming, Scores & News",Sports,28895,5000000,Free,0,Teen,4.4.15,5,82,Sports,,02/08/2018
4,FR: My Famous Lover,Family,185,10000,Free,0,Teen,1.3.0,3,28,Entertainment,,06/08/2015
4,FR: My Secret Pets! ,Family,785,50000,Free,0,Teen,1.3.1,3,31,Entertainment,,03/06/2015
4,Game of Thrones: Conquestâ„¢,Game,90218,1000000,Free,0,Teen,1.8.225278,6,97,Strategy,,03/08/2018
4,Holy Knight EN,Family,26202,1000000,Free,0,Teen,1.1.700,2.3,41,Role Playing,,05/05/2018
4,Instachat ðŸ˜œ,Social,80987,5000000,Free,0,Teen,2.2.4,4.4,25,Social,,30/07/2018
4,JackThreads: Men's Shopping,Shopping,13085,1000000,Free,0,Teen,5.1,4.0.3,2.7,Shopping,,08/11/2017
4,Lifetime - Watch Full Episodes & Original Movies,Entertainment,35928,1000000,Free,0,Teen,3.1.4,4.4,19,Entertainment,,16/07/2018
4,Lifetime - Watch Full Episodes & Original Movies,Entertainment,35931,1000000,Free,0,Teen,3.1.4,4.4,19,Entertainment,,16/07/2018
4,LightInTheBox Online Shopping,Shopping,41986,5000000,Free,0,Teen,3.69.0,4.1,26,Shopping,,06/08/2018
4,Love Dance,Game,29462,1000000,Free,0,Teen,1.1.7,4,44,Music,,14/06/2018
4,Modern Counter Terrorist FPS Shoot,Game,795,100000,Free,0,Teen,1.2,2.3,41,Action,,29/08/2017
4,Motocross Beach Jumping 3D,Family,105954,10000000,Free,0,Teen,1.7.3,4.1,43,Simulation,,05/06/2018
4,Navy Gunner Shoot War 3D,Game,103199,10000000,Free,0,Teen,1.0.7.8,4.2,44,Action,,02/08/2018
4,PumpUp â€” Fitness Community,Health and fitness,49479,1000000,Free,0,Teen,5.13.0,5,57,Health & Fitness,,10/07/2018
4,Nights at Cube Pizzeria 3D â€“ 3,Family,15875,1000000,Free,0,Teen,1.5,4.2,40,Simulation,,03/03/2017
4,Rescue Robots Survival Games,Game,27557,5000000,Free,0,Teen,F2i,4.1,69,Action,,06/07/2018
4,Rivals at War: 2084,Family,174127,5000000,Free,0,Teen,1.3,3,48,Simulation,,03/10/2016
4,Sniper Killer Shooter,Game,119368,10000000,Free,0,Teen,1.1.4,2.3,19,Action,,21/02/2017
4,Texas Holdem Poker,Game,127831,10000000,Free,0,Teen,4.7.0,3,26,Card,,20/12/2017
4,The Walking Dead: Our World,Game,22435,1000000,Free,0,Teen,1.1.0.3,5,100,Action,,01/08/2018
4,uCiC- Videos and Photos on demand,Social,2052,100000,Free,0,Teen,2.16,4.4,7,Social,,27/09/2017
4,Virtual Mom Surgery Doctor : ER Emergency Hospital,Family,1130,100000,Free,0,Teen,1.4,4,77,Educational,,15/05/2018
4,What U See,Social,712,100000,Free,0,Teen,2.3.9,4.1,21,Social,,05/03/2018
4.1,100 Doors of Revenge,Family,105766,10000000,Free,0,Teen,2.2.2,4.4,48,Puzzle,,24/05/2018
4.1,50000 Free eBooks & Free AudioBooks,Books and reference,52312,5000000,Free,0,Teen,5.3.4,4.4,11,Books & Reference,,19/05/2018
4.1,95Live -SG#1 Live Streaming App,Dating,4953,1000000,Free,0,Teen,8.7.2,4.2,15,Dating,,01/08/2018
4.1,95Live -SG#1 Live Streaming App,Dating,4954,1000000,Free,0,Teen,8.7.2,4.2,15,Dating,,01/08/2018
3.8,CT Lottery,Family,271,50000,Free,0,Teen,1.2.0,4,8.3,Entertainment,,12/06/2017
3.8,du View,Family,935,50000,Free,0,Teen,6.4.1,4.3,22,Entertainment,,26/03/2018
3.8,Elemental Knights R Platinum,Family,2925,50000,Paid,4.77,Teen,6.2.1,4.1,93,Role Playing,,01/08/2018
3.8,"ER Emergency Hospital - Brain, Knee, Eye Surgery",Family,25,1000,Free,0,Teen,1.1,2.3,41,Educational,,21/07/2017
3.8,HBO GO: Stream with TV Package,Entertainment,87723,10000000,Free,0,Teen,16.0.0.437,4.1,32,Entertainment,,19/07/2018
3.8,HBO GO: Stream with TV Package,Family,87734,10000000,Free,0,Teen,16.0.0.437,4.1,32,Entertainment,,19/07/2018
3.8,Ghost Snap AR Horror Survival,Game,898,100000,Free,0,Teen,1.2.3.1,2.3,33,Adventure,,21/12/2016
3.8,Lite Messenger for Facebook Lite,Social,108,10000,Free,0,Teen,3.1,4.2,2.8,Social,,28/05/2018
3.8,MTV,Entertainment,35279,1000000,Free,0,Teen,11.45.0,4.4,15,Entertainment,,08/07/2018
3.8,OBJECTIVE,Video players,19738,1000000,Free,0,Teen,9.7.6,4,33,Video Players & Editors,,07/08/2018
3.8,Race the Traffic Moto,Game,270687,10000000,Free,0,Teen,1.0.16,4.0.3,38,Racing,,20/07/2018
3.8,Sic Bo Online! Free Casino,Game,488,100000,Free,0,Teen,1.3,2.3,30,Casino,,10/06/2016
3.8,Super AR,Family,410,10000,Free,0,Teen,2.1,4,28,Entertainment,,18/12/2017
3.8,Habbo - Virtual World,Family,159398,5000000,Free,0,Teen,2.22.0,4.2,28,Role Playing,,30/05/2018
3.8,Hair Salon - Fun Games,Family,484226,50000000,Free,0,Teen,3.0.10,4,27,Casual,,15/06/2018
3.8,Train driving simulator,Family,91645,10000000,Free,0,Teen,1.94,4.1,36,Simulation,,08/05/2018
3.8,Trine 2: Complete Story,Game,252,10000,Paid,16.99,Teen,2.22,5,11,Action,,27/02/2015
3.8,Two Nights at jumpscare,Game,596,100000,Free,0,Teen,1,4.1,91,Adventure,,17/08/2017
3.8,Virtual Brain Surgery Simulator : Kid ER Emergency,Family,20,5000,Free,0,Teen,1.1,4,55,Educational,,23/02/2018
3.8,US Mission - buy gourmet movie KTV,Lifestyle,6554,500000,Free,0,Teen,9.4.2,4.1,76,Lifestyle,,20/06/2018
3.8,Verdad o Reto,Social,826,500000,Free,0,Teen,2,4.1,5.1,Social,,10/05/2018
3.9,Blagues et Histoires DrÃ´les,Family,859,100000,Free,0,Teen,0.0.2,4.1,5.3,Entertainment,,18/02/2017
3.9,Block Gun 3D: Ghost Ops,Game,142693,5000000,Free,0,Teen,1.4.0,2.3,21,Action,,07/06/2018
3.9,B-Grade Renegade,Game,24,1000,Paid,1.99,Teen,0.8.17,3.2,64,Action,,17/10/2017
3.9,BR Series,Video players,1016,50000,Free,0,Teen,6,4.1,13,Video Players & Editors,,28/05/2018
3.9,BS Meter (Ad Supported),Family,14,1000,Free,0,Teen,2,2.2,0.58,Entertainment,,14/08/2013
3.9,DIRECTV for Tablets,Family,24123,1000000,Free,0,Teen,5.9.006,4.1,69,Entertainment,,01/06/2018
3.9,Counter Terrorist Attack,Game,145931,10000000,Free,0,Teen,5.3.2,2.3,43,Action,,31/05/2018
3.9,Comedy Central,Entertainment,22378,1000000,Free,0,Teen,11.45.0,4.4,19,Entertainment,,08/07/2018
3.9,Comic Es - Shojo manga / love comics free of charge â™ª â™ª,Comics,2181,100000,Free,0,Teen,1.2.12,4.0.3,10,Comics,,05/03/2018
3.9,Dead Zombie Evil Killer:Axe,Game,71,10000,Free,0,Teen,1.1,2.3,52,Action,,01/12/2016
3.9,ER Doctor City Emergency - Surgery City Doc FREE,Family,1909,100000,Free,0,Teen,2.1,4.0.3,84,Educational,,13/06/2018
3.9,Eye Transplant : ER Emergency Hospital,Family,1938,1000000,Free,0,Teen,1.6,4.1,62,Educational,,25/05/2018
3.9,Female Daily,Beauty,4354,100000,Free,0,Teen,2.5.1,4.0.3,42,Beauty,,06/08/2018
3.9,Fists For Fighting (Fx3),Sports,138739,10000000,Free,0,Teen,1.998,4.1,44,Sports,,07/07/2018
3.9,funny Image Comments for FB,Social,19,5000,Free,0,Teen,2,4.1,15,Social,,13/02/2018
3.9,Gods Wars Ex : Vampire,Family,1550,100000,Free,0,Teen,1.0.6,3,21,Role Playing,,28/10/2017
3.9,Google News,News and magazines,877635,1000000000,Free,0,Teen,5.2.0,4.4,13,News & Magazines,,01/08/2018
3.9,Google News,News and magazines,877643,1000000000,Free,0,Teen,5.2.0,4.4,13,News & Magazines,,01/08/2018
3.9,Google News,News and magazines,878065,1000000000,Free,0,Teen,5.2.0,4.4,13,News & Magazines,,01/08/2018
3.9,Hands 'n Guns Simulator,Family,19727,1000000,Free,0,Teen,32,4.1,76,Simulation,,03/07/2018
3.9,Gaydorado,Family,8419,100000,Free,0,Teen,0.0.42,4.0.3,47,Role Playing,,01/08/2018
3.9,Ghost In Photo,Photography,28429,5000000,Free,0,Teen,2,2.3,14,Photography,,16/03/2018
3.9,Naruto Shippuden - Watch Free!,Video players,141515,10000000,Free,0,Teen,0.6.0,2.3,5.7,Video Players & Editors,,23/04/2014
3.9,MB Notifications for FB (Free),Social,3047,100000,Free,0,Teen,1.17.0,2.3,1.5,Social,,29/04/2015
3.9,Omlet Chat,Communication,40751,10000000,Free,0,Teen,2.2.7600,4.0.3,35,Communication,,04/11/2016
3.9,NPR One,News and magazines,13217,1000000,Free,0,Teen,1.8.7.0,5,8.8,News & Magazines,,03/08/2018
3.9,Route Z,Game,24697,500000,Free,0,Teen,1.5,4,16,Action,,10/07/2015
3.9,San Andreas City : Auto Theft Car gangster,Game,923,100000,Free,0,Teen,1.4,4.1,67,Action,,17/07/2018
3.9,Sic Bo Rave,Game,164,10000,Free,0,Teen,1.0.1,2.3.3,33,Card,,23/09/2013
3.9,senior easy phone,Personalization,168,50000,Free,0,Teen,1,2.3,2.1,Personalization,,27/03/2015
3.9,Shoot`Em Down: Shooting game,Game,7972,500000,Free,0,Teen,56,4.1,88,Action,,12/08/2017
3.9,Shoulder Surgery ER Emergency Doctor Game,Family,55,10000,Free,0,Teen,1.0.1,4,46,Educational,,07/11/2017
3.9,Telemundo Now,Entertainment,8674,1000000,Free,0,Teen,3.3.1.42,4.4,19,Entertainment,,25/05/2018
3.9,The Grand Way,Game,1995,500000,Free,0,Teen,1.9,4.1,92,Action,,03/07/2018
3.9,Tribeca Shortlist - Handpicked Movies,Entertainment,801,100000,Free,0,Teen,4.003.1,4.3,57,Entertainment,,21/03/2018
3.9,Virtual Mother Surgery Doctor : Emergency Hospital,Family,70,10000,Free,0,Teen,1.1,4,61,Educational,,30/05/2018
3.9,Trailer Addict Movie Trailers,Entertainment,2646,100000,Free,0,Teen,2.2.0,4.2,9.1,Entertainment,,14/02/2018
4,7 Nights at Pixel Pizzeria - 2,Game,23168,1000000,Free,0,Teen,1.3.0,4.4,54,Adventure,,09/07/2018
4,A&E - Watch Full Episodes of TV Shows,Entertainment,29706,1000000,Free,0,Teen,3.1.4,4.4,19,Entertainment,,16/07/2018
4,A&E - Watch Full Episodes of TV Shows,Family,29708,1000000,Free,0,Teen,3.1.4,4.4,19,Entertainment,,16/07/2018
4,AE Blackjack,Game,1417,100000,Free,0,Teen,1.3.1,2.3,17,Card,,27/11/2015
4,AE Video Poker,Game,721,50000,Free,0,Teen,1.3.2,2.3,18,Casino,,31/12/2015
4,Amazon for Tablets,Shopping,141584,10000000,Free,0,Teen,16.14.0.850,4.4,22,Shopping,,31/07/2018
4,Amazon for Tablets,Shopping,141613,10000000,Free,0,Teen,16.14.0.850,4.4,22,Shopping,,31/07/2018
4,Asylum Night Shift - Five Nights Survival,Game,59223,5000000,Free,0,Teen,1.6.5,4.1,46,Action,,26/06/2018
4,Angry Shark 2016,Family,73185,5000000,Free,0,Teen,1.6,4,46,Simulation,,01/11/2017
4,Background Changer & Eraser,Photography,2076,500000,Free,0,Teen,2.5,4.1,11,Photography,,21/05/2018
4,BC Slots - The Lost Reels FREE,Game,209,10000,Free,0,Teen,7,4,22,Casino,,13/07/2018
4,Bee'ah Employee App,Communication,4,100,Free,0,Teen,2.26.5.0,5,5.4,Communication,,24/12/2017
4,CG Yojna & Jansampark,Family,54,5000,Free,0,Teen,7.2,2.3,4.1,Education,,12/09/2017
4,Casual Sic Bo (éª°å¯¶),Family,3,500,Free,0,Teen,1.1.1,5,2.2,Casual,,22/07/2018
4,CB Radio Chat - for friends!,Communication,17998,1000000,Free,0,Teen,2.6.3,4,7.9,Communication,,27/03/2018
4,Commando Adventure Assassin,Game,51067,5000000,Free,0,Teen,1.18,4.1,48,Action,,29/05/2018
4,Cops N Robbers,Game,37789,1000000,Free,0,Teen,1.5.2,4.1,58,Adventure,,06/06/2018
4,Crazy Doctor,Family,267636,10000000,Free,0,Teen,1.5,2.1,13,Role Playing,,03/03/2014
4,Crazy Wheels,Game,121082,10000000,Free,0,Teen,1.0.7,2.1,7,Adventure,,17/01/2018
4,Creative Ideas - DIY & Craft,Lifestyle,5208,100000,Free,0,Teen,1.37,4,4.5,Lifestyle,,23/11/2017
4,Dinosaur Simulator: Dino World,Game,26649,5000000,Free,0,Teen,1.2,4.2,66,Action,,05/08/2018
4.1,Multi Surgery ER Emergency Hospital : Doctor Game,Family,227,10000,Free,0,Teen,1.2,4,69,Educational,,21/06/2018
4.1,Order & Chaos 2: 3D MMO RPG,Family,242722,10000000,Free,0,Teen,3.1.2b,4.0.3,54,Role Playing,,09/07/2018
4.1,Modern Counter Global Strike 3D,Game,297,50000,Free,0,Teen,1.2,4.1,48,Action,,28/03/2018
4.1,Nights at Cube Pizzeria 3D â€“ 4,Game,7728,500000,Free,0,Teen,1.5.0,4.4,39,Adventure,,17/07/2018
4.1,Nights at Slender Pizzeria 3D,Game,2628,100000,Free,0,Teen,1.1,4.2,45,Adventure,,22/05/2017
4.1,Pro App for Craigslist,Shopping,5618,500000,Free,0,Teen,Copyright,4.1,4.6,Shopping,,09/05/2018
4.1,"Read- Latest News, Information, Gossip and Politics",News and magazines,185058,10000000,Free,0,Teen,3.1.6.9,4.1,6.7,News & Magazines,,01/08/2018
4.1,"Real Casino:Slot,Keno,BJ,Poker",Game,341,50000,Free,0,Teen,1.18,4,26,Casino,,12/08/2016
4.1,Selfie Camera Photo Editor & Filter & Sticker,Beauty,187,50000,Free,0,Teen,3.0.1,4.0.3,30,Beauty,,24/07/2018
4.1,Shoot Strike War Fire,Game,82827,10000000,Free,0,Teen,1.1.5,4,20,Arcade,,13/07/2018
4.1,Sin City Hero : Crime Simulator of Vegas,Game,3371,100000,Free,0,Teen,1.1,4.0.3,78,Action,,08/09/2017
4.1,Speed Camera Radar,Maps and navigation,54034,5000000,Free,0,Teen,2.1.15,4,5.8,Maps & Navigation,,30/05/2018
4.1,Spider grinder in screen funny,Family,956,100000,Free,0,Teen,1.1,2.2,10,Entertainment,,17/05/2016
4.1,Super Doctor 1-Pregnant Mom ER Surgery Simulator,Family,290,10000,Free,0,Teen,1,4.3,73,Role Playing,,23/05/2018
4.1,Teen Patti by BL Games,Game,496,100000,Free,0,Teen,1.3.0,2.3.3,39,Card,,31/01/2017
4.1,Tiger Live Wallpaper,Personalization,77724,5000000,Free,0,Teen,2.7.2,4,7.1,Personalization,,31/05/2018
4.1,Timehop,Social,161610,5000000,Free,0,Teen,4.5.3,4.1,16,Social,,05/08/2018
4.1,The NBC App - Watch Live TV and Full Episodes,Entertainment,58028,5000000,Free,0,Teen,4.18.1,4.1,17,Entertainment,,05/07/2018
4.1,The NBC App - Watch Live TV and Full Episodes,Family,58104,5000000,Free,0,Teen,4.18.1,4.1,17,Entertainment,,05/07/2018
4.1,Thai Sic Bo,Game,14283,1000000,Free,0,Teen,1.1.2,4,4.2,Casino,,01/10/2017
4.1,VH1,Entertainment,27424,1000000,Free,0,Teen,11.45.0,4.4,17,Entertainment,,08/07/2018
4.1,What's Your Story?â„¢ ft Charmed,Family,39661,1000000,Free,0,Teen,1.10.4,5,47,Role Playing,,02/08/2018
4.1,Wheretoget: Shop in style,Lifestyle,6808,500000,Free,0,Teen,3.2.0,4.1,12,Lifestyle,,05/06/2017
4.1,YAY - TBH,Social,2520,100000,Free,0,Teen,1.1.5,4.3,12,Social,,17/11/2017
4.1,YouNow: Live Stream Video Chat,Social,309872,10000000,Free,0,Teen,14.0.13,4.1,85,Social,,03/08/2018
4.1,Your rank CS:GO,Game,4946,100000,Free,0,Teen,1.82,4.0.3,7.5,Trivia,,16/07/2017
4.1,Ziggo GO,Entertainment,29690,1000000,Free,0,Teen,2.3.34 Prod,4.3,78,Entertainment,,03/08/2018
4.2,3DAnimeGirl DX DreamPortrait KAWAII Girl DressUp,Family,449,10000,Free,0,Teen,1.5,4,56,Casual,,16/02/2018
4.1,Treasure Defense,Family,3527,100000,Free,0,Teen,2.2.0.23,3,35,Strategy,,08/09/2015
4.1,Ultimate BlackJack 3D FREE,Game,1686,100000,Free,0,Teen,3.1.0,2.3,4.6,Casino,,20/04/2015
4.2,Amazon Prime Video,Entertainment,411683,50000000,Free,0,Teen,3.0.231.18141,4.1,24,Entertainment,,02/08/2018
4.2,Animal Planet GO,Entertainment,2442,100000,Free,0,Teen,2.9.4,4.1,9.6,Entertainment,,24/07/2018
4.2,2-Player Co-op Zombie Shoot,Game,33,1000,Free,0,Teen,1.0.13,2.3,13,Action,,01/07/2018
4.2,Armed Cam Gun Pack,Game,1012,10000,Free,0,Teen,1.0.2,3,50,Action,,18/01/2015
4.2,Aunjai i lert u,Health and fitness,1140,500000,Free,0,Teen,1.5,3,5.5,Health & Fitness,,10/01/2017
4.2,Be like Bill Generator,Family,67,5000,Free,0,Teen,1.08,4.0.3,6.5,Entertainment,,29/01/2016
4.2,Be My Princess,Family,3103,100000,Free,0,Teen,6.5,2.2,8.8,Entertainment,,19/09/2017
4.2,Best CG views,Family,4,100,Free,0,Teen,5.1,3,2.5,Entertainment,,24/06/2015
4.2,Best DP and Status,Social,93,10000,Free,0,Teen,7.6.5,4.1,5.6,Social,,29/11/2017
4.2,BF Abstract 3d Pictures,Family,72,10000,Free,0,Teen,5.1,3,2.5,Entertainment,,18/06/2015
4.2,Booking Revolution,Sports,140883,5000000,Free,0,Teen,1.932,4,59,Sports,,21/07/2018
4.2,CA Lottery Official App,Family,7000,1000000,Free,0,Teen,3.0.2,4.4,26,Entertainment,,02/08/2018
4.2,Call of Duty:Black Ops Zombies,Game,13004,100000,Paid,6.99,Teen,1.0.11,2.3.3,46,Action,,20/12/2016
4.2,Call of Miniâ„¢ Dino Hunter,Game,326042,10000000,Free,0,Teen,3.1.7,3,10,Action,,06/06/2014
4.2,BET NOW - Watch Shows,Entertainment,14807,1000000,Free,0,Teen,11.45.0,4.4,19,Entertainment,,08/07/2018
4.2,Carnivores: Dinosaur Hunter,Game,62636,1000000,Free,0,Teen,1.8.0,4.0.3,17,Action,,02/07/2018
4.2,Castle Defense 2,Family,35172,1000000,Free,0,Teen,3.2.2,2.3.3,34,Strategy,,20/01/2017
4.2,CG Samanya Gyan,Family,145,10000,Free,0,Teen,7.2,2.3,4.1,Education,,12/09/2017
4.2,Clash of Kings : The King Of Fighters version,Family,2233681,50000000,Free,0,Teen,3.44.0,2.3.3,97,Strategy,,01/08/2018
4.2,Chess of Blades (Demo),Family,45,1000,Free,0,Teen,1.5,2.3.3,23,Casual,,25/01/2018
4.2,Counter Online FPS Game,Game,41089,5000000,Free,0,Teen,2.7,4.1,42,Action,,25/07/2018
4.2,Counter Terrorist Gun Strike CS: Special Forces,Game,211,10000,Free,0,Teen,1.1,2.3,44,Action,,18/08/2017
4.2,D Day World War II Commando Survival Shooting,Game,951,100000,Free,0,Teen,1.2,4.1,64,Action,,25/05/2018
4.2,DH Pineapple Poker OFC,Game,1878,100000,Free,0,Teen,1.0.13,3,20,Casino,,09/11/2017
4.2,DramaFever: Stream Asian Drama Shows & Movies,Entertainment,155234,1000000,Free,0,Teen,01.01.66,4.4,22,Entertainment,,01/08/2018
4.2,Dubsmash,Video players,1971777,100000000,Free,0,Teen,2.35.8,4.1,29,Video Players & Editors,,11/05/2018
4.2,Dungeon Hunter 5 â€“ Action RPG,Family,720685,10000000,Free,0,Teen,3.6.1a,4.0.3,51,Role Playing,,21/06/2018
4.2,Cube Z (Pixel Zombies),Game,41444,1000000,Free,0,Teen,1.0.11,4.0.3,56,Action,,31/07/2016
4.2,Desperate Housewives: The Game,Family,10440,500000,Free,0,Teen,18.30.22,4.4,27,Role Playing,,06/08/2018
4.2,EF Universe: Endless Battle,Family,5,50,Free,0,Teen,4541.25.51,4.1,54,Role Playing,,31/07/2018
4.2,EO SouthAsia,Business,8,100,Free,0,Teen,1.0.23,4.1,19,Business,,25/04/2018
4.2,European War 6: 1804,Family,1330,10000,Paid,0.99,Teen,1.1.0,4.4,96,Strategy,,18/07/2018
4.2,Evolution: Battle for Utopia,Family,246705,1000000,Free,0,Teen,3.5.2,4.0.3,27,Strategy,,04/05/2018
4.2,Faketalk - Chatbot,Game,63056,1000000,Free,0,Teen,1.9.7,2.3,8.1,Word,,03/07/2018
4.2,Fancy,Shopping,39735,5000000,Free,0,Teen,3.13.09,4,18,Shopping,,25/07/2018
4.2,Faster Social for Facebook,Social,1236,100000,Free,0,Teen,1.8,4.3,3.3,Social,,02/08/2018
4.2,Empire Z: Endless War,Family,367951,5000000,Free,0,Teen,2.2.8,4.0.3,76,Strategy,,16/07/2018
4.2,Five Tries At Love Dating Sim,Family,37165,1000000,Free,0,Teen,5.1.0,2.3,22,Simulation,,14/02/2018
4.2,Girls' Frontline,Game,2055,100000,Free,0,Teen,2.0081_206,4.0.3,96,Strategy,,18/05/2018
4.2,Gun Club Armory,Game,55014,1000000,Free,0,Teen,1.2.6,4.1,28,Action,,04/12/2017
4.2,Gun Shoot War Q,Game,26893,1000000,Free,0,Teen,1.0.5,2.3,20,Arcade,,01/03/2017
4.2,Gunship Modern Combat 3D,Game,3247,500000,Free,0,Teen,1.05,2.3,26,Action,,25/07/2017
4.2,Galaxy Live Wallpaper,Personalization,58052,5000000,Free,0,Teen,1.1.8,2.3.3,4,Personalization,,14/09/2017
4.2,Heroes of Dragon Age,Game,70389,1000000,Free,0,Teen,5.3.1,2.3.3,28,Action,,09/05/2018
